ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
RLAY,-0.3174603174603174,,-0.0881625211616096,,-0.1220139902486222,,5.484,2026-02-15,2026-02-21T18:20:35.825501+00:00
RLMD,-0.4915254237288136,,,,-1.0661300957082318,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
RMCF,-0.8181818181818181,-0.0443430888128721,0.0349150411244822,,-0.0258075258075258,0.2616995890229351,153.546,2026-02-15,2026-02-21T18:20:35.825501+00:00
ROST,0.0675675675675675,0.1044281270840095,-0.0961796948534889,,0.0870045591418901,0.2800419786228969,88.181,2026-02-15,2026-02-21T18:20:35.825501+00:00
RRBI,0.2627737226277371,0.1440432165905301,0.0362847968285731,,,,39737.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
RRX,0.532258064516129,0.0132665493434411,-0.0544016091934227,,,,72.1,2026-02-15,2026-02-21T18:20:35.825501+00:00
RY,0.2920962199312713,0.1416052579167497,-0.0693756568100962,,0.0390532884709401,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
SA,-1.6274509803921569,,,,-0.0305364748587439,,55.304,2026-02-15,2026-02-21T18:20:35.825501+00:00
SB,-0.3181818181818182,-0.0374985182355808,0.0897965019877773,,0.0215229443736452,0.3940007663254694,65.022,2026-02-15,2026-02-21T18:20:35.825501+00:00
SBH,-0.2241379310344826,0.0056221645280121,-0.0188793010315432,,0.0553168238086854,0.512378494605415,187.147,2026-02-15,2026-02-21T18:20:35.825501+00:00
SBLK,-0.8024691358024691,-0.2335967839849888,-0.0061783027123238,,0.0076670022886326,0.220590854825567,50.951,2026-02-15,2026-02-21T18:20:35.825501+00:00
SCHL,0.2690058479532162,0.0119353654058025,1.9989867664848615,,0.0600300687285223,0.5906369080021775,43.052,2026-02-15,2026-02-21T18:20:35.825501+00:00
SD,0.7916666666666667,0.3248827228266293,0.3427138885661123,,0.0323952328058337,0.3947064436743508,0.27,2026-02-15,2026-02-21T18:20:35.825501+00:00
SDRL,-1.3469387755102042,0.0254237288135592,-0.162508412842947,,-0.0038394415357766,0.1487603305785124,21.955,2026-02-15,2026-02-21T18:20:35.825501+00:00
SEI,-8.75,1.2240395638380122,-0.0647361709339411,,0.0266213402518323,0.333756885215442,63.472,2026-02-15,2026-02-21T18:20:35.825501+00:00
SEPN,-1.3683919690550743,121.1306818181818,180.08687310540654,,0.0210248217919332,,6.202,2026-02-15,2026-02-21T18:20:35.825501+00:00
SHIP,0.0,0.0594282622418613,-0.2945129831244704,,0.0470017581429292,0.4453311201906707,103.119,2026-02-15,2026-02-21T18:20:35.825501+00:00
SHLS,-0.4138183593749996,0.3292614887681691,-0.1540739643796995,,0.02014619089614,0.3700332832611705,28.194,2026-02-15,2026-02-21T18:20:35.825501+00:00
SIG,3.083333333333333,0.0314213724618348,-0.0891325689470101,,0.0116225011622501,0.3727547061359391,66.963,2026-02-15,2026-02-21T18:20:35.825501+00:00
SIMO,1.0735294117647056,0.1392906238818898,0.0247640994882303,,,,578465.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
SMP,-2.1764705882352944,0.2493857463088424,-0.1845836059532759,,-0.0063993551929992,0.3243430706685163,102.186,2026-02-15,2026-02-21T18:20:35.825501+00:00
SMTC,-0.7,0.1272923044442098,0.0104166270754597,,-0.0050596122024693,0.5187005330166947,91.192,2026-02-15,2026-02-21T18:20:35.825501+00:00
SND,-0.9995182908356712,0.4690142183096362,-0.2265769391713825,,0.0125149558307937,0.1609721922828195,16.087,2026-02-15,2026-02-21T18:20:35.825501+00:00
SPXC,0.2075471698113207,0.2255530287368203,-0.0714978275110711,,0.0291858678955453,0.4040148448043185,23.349,2026-02-15,2026-02-21T18:20:35.825501+00:00
SRI,-4.4,-0.0166673681552254,-0.1237613873187415,,-0.0373056788550727,0.203403292004927,71.918,2026-02-15,2026-02-21T18:20:35.825501+00:00
