zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
2.4000,35.0000,0.5000,14,8,6,-1.0871,1.8954,55.6000,1.0950,-5.8451,2.4447,40.0000
3.2000,80.0000,0.5000,14,8,6,-1.0905,1.9870,37.2000,1.0956,-5.8652,2.2406,40.0000
3.2000,55.0000,0.4000,6,4,12,-1.0929,2.0189,50.2000,1.0713,-5.8340,2.2360,40.0000
2.4000,80.0000,0.5000,14,8,6,-1.0945,1.9950,43.8000,1.1012,-5.8233,2.2030,40.0000
2.0000,80.0000,0.4000,10,6,8,-1.0956,1.9981,47.2000,1.1138,-5.7973,2.1857,40.0000
2.0000,55.0000,0.4000,10,6,8,-1.0973,1.9696,61.0000,1.0980,-5.8122,2.2205,40.0000
3.2000,35.0000,0.4000,10,6,8,-1.0976,1.8919,52.8000,1.0963,-5.8522,2.3451,40.0000
2.4000,35.0000,0.5000,6,4,12,-1.0981,1.7954,68.8000,1.1138,-5.8468,2.3918,40.0000
2.4000,55.0000,0.5000,14,8,6,-1.1009,1.9956,52.4000,1.0827,-5.8314,2.1838,40.0000
2.0000,80.0000,0.4000,6,4,12,-1.1022,1.9605,50.0000,1.1041,-5.8382,2.1267,40.0000
3.2000,80.0000,0.4000,6,4,12,-1.1027,1.8890,40.0000,1.0965,-5.8835,2.2734,40.0000
2.0000,55.0000,0.4000,6,4,12,-1.1036,1.8986,64.6000,1.0950,-5.8537,2.2246,40.0000
2.8000,80.0000,0.4000,6,4,12,-1.1082,1.8204,41.4000,1.0947,-5.9188,2.2602,40.0000
2.8000,55.0000,0.4000,6,4,12,-1.1094,1.8586,53.8000,1.0788,-5.8609,2.3036,40.0000
2.8000,55.0000,0.4000,10,6,8,-1.1100,1.8652,52.2000,1.0717,-5.8568,2.3124,40.0000
3.2000,55.0000,0.4000,10,6,8,-1.1110,1.9513,48.2000,1.0803,-5.8340,2.2117,40.0000
3.2000,35.0000,0.4000,14,8,6,-1.1110,1.8350,49.0000,1.0914,-5.8522,2.3498,40.0000
2.8000,35.0000,0.4000,10,6,8,-1.1114,1.7439,56.6000,1.0983,-5.8760,2.4353,40.0000
2.4000,80.0000,0.4000,6,4,12,-1.1123,1.9038,45.6000,1.1092,-5.8548,2.1473,40.0000
3.2000,80.0000,0.4000,10,6,8,-1.1130,1.8413,38.0000,1.0897,-5.8835,2.2736,40.0000
2.4000,55.0000,0.4000,6,4,12,-1.1153,1.8394,57.0000,1.0907,-5.8594,2.2328,40.0000
2.0000,35.0000,0.4000,14,8,6,-1.1204,1.7975,60.2000,1.1201,-5.8535,2.2877,40.0000
2.0000,80.0000,0.4000,14,8,6,-1.1207,1.8890,44.6000,1.1107,-5.8334,2.1078,40.0000
2.4000,80.0000,0.4000,10,6,8,-1.1217,1.8716,43.4000,1.1079,-5.8357,2.1656,40.0000
2.4000,55.0000,0.4000,10,6,8,-1.1240,1.8327,54.2000,1.0836,-5.8403,2.2123,40.0000
2.8000,80.0000,0.4000,10,6,8,-1.1247,1.7541,39.2000,1.0927,-5.9147,2.2604,40.0000
3.2000,80.0000,0.4000,14,8,6,-1.1254,1.7941,36.2000,1.0962,-5.8835,2.2525,40.0000
