symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
NBIS,91.2300033569336,52.8,C,13.3,15.0,7.3,0.0,8.4,8.7,7.5,-9.48,3343.0,14.2,7
CFLT,30.690000534057617,52.7,C,20.0,0.0,10.0,0.0,14.1,8.6,0.31,0.13,590.0,0.0,7
PSA,307.1300048828125,52.2,C,15.0,15.0,1.8,7.0,7.8,5.5,2.2,2.98,245.0,9.6,7
AIG,80.48500061035156,52.0,C,13.9,15.0,1.3,2.6,14.2,4.9,1.76,0.74,218.0,9.1,7
PGR,213.60000610351562,51.8,C,15.0,15.0,6.0,5.8,1.4,8.6,2.08,4.76,398.0,13.1,7
RXST,7.46999979019165,51.7,C,10.7,15.0,19.7,1.1,5.2,0.0,6.81,-11.81,7.0,24.7,7
MET,72.06999969482422,51.6,C,9.1,15.0,2.1,19.0,0.8,5.5,3.67,-8.77,258.0,9.8,7
IONQ,38.369998931884766,51.5,C,18.7,14.5,8.3,2.0,0.0,8.1,6.65,18.98,815.0,15.0,7
SNOW,168.25,51.2,C,10.3,12.6,3.6,2.9,12.8,9.0,6.49,-4.05,1469.0,11.1,7
EBAY,90.8499984741211,51.0,C,7.6,15.0,0.8,15.4,3.3,8.9,4.3,8.7,905.0,8.7,7
VZ,50.119998931884766,50.7,C,18.9,15.0,0.0,1.1,6.0,9.7,1.61,2.61,987.0,6.8,7
WBD,28.149999618530273,50.6,C,20.0,6.5,11.1,0.0,5.0,8.0,1.11,-1.95,1527.0,17.4,7
SMR,12.875,50.5,C,14.5,11.0,6.5,0.0,11.9,6.6,7.53,-5.68,288.0,13.5,7
EXAS,103.37999725341797,50.4,C,20.0,0.0,10.0,0.0,15.0,5.4,0.26,0.03,256.0,0.0,7
RPD,6.224999904632568,50.4,C,18.1,15.0,12.9,0.7,3.7,0.0,6.87,-13.42,9.0,19.0,7
O,67.0199966430664,50.2,C,20.0,15.0,3.4,0.0,5.0,6.9,1.47,2.6,319.0,10.9,7
NFLX,96.26000213623047,50.1,C,9.9,15.0,1.6,15.7,0.0,8.0,4.26,23.75,29734.0,9.3,7
HWM,262.42999267578125,50.1,C,15.0,15.0,2.6,8.8,0.0,8.6,2.38,6.17,400.0,10.2,7
ARRY,7.574999809265137,50.0,C,20.0,14.7,11.5,0.0,0.0,3.8,9.3,-33.35,241.0,17.7,7
IBM,240.14999389648438,49.8,C,6.3,15.0,0.0,12.0,7.8,8.7,4.91,-6.64,1852.0,7.3,7
BMY,62.36000061035156,49.4,C,15.4,15.0,3.1,3.1,3.0,9.7,1.81,3.73,566.0,10.6,7
STLA,8.09000015258789,49.3,C,14.5,15.0,3.3,11.8,2.4,2.4,2.68,5.75,104.0,10.8,7
YUM,168.11000061035156,49.2,C,20.0,15.0,3.1,2.9,3.4,4.8,1.79,3.59,219.0,10.7,7
PNC,212.22999572753906,49.2,C,10.5,15.0,0.0,15.9,0.0,7.8,3.09,-8.0,365.0,6.2,7
TEAM,75.16000366210938,48.9,C,14.7,15.0,2.0,0.0,8.1,9.1,7.03,-9.23,1274.0,9.7,7
TTD,23.81999969482422,48.9,C,5.7,15.0,3.0,6.4,10.8,8.0,5.88,-5.4,1048.0,10.6,7
PG,167.1699981689453,48.8,C,20.0,15.0,0.0,4.3,0.0,9.4,1.93,6.33,1241.0,5.6,7
KO,81.55000305175781,48.7,C,17.9,15.0,1.7,0.0,4.4,9.7,1.39,2.57,967.0,9.5,7
AFL,112.93000030517578,48.7,C,13.3,15.0,0.4,2.2,14.0,3.9,1.72,-0.77,164.0,8.3,7
PL,24.139999389648438,48.2,C,15.6,9.8,6.2,0.0,12.2,4.5,8.01,5.74,196.0,13.2,7
TM,242.49000549316406,48.1,C,17.7,15.0,0.0,0.0,13.9,1.6,1.21,0.56,52.0,6.0,7
ABT,116.30999755859375,47.7,C,15.8,15.0,1.5,0.9,4.9,9.6,1.59,2.82,694.0,9.3,7
RH,165.66000366210938,47.2,C,20.0,13.6,9.4,0.0,0.0,4.1,7.57,-20.9,207.0,16.0,7
ROST,205.58999633789062,47.1,C,13.7,15.0,1.1,4.0,6.2,7.1,1.9,3.02,353.0,8.9,7
CB,340.8599853515625,47.0,C,20.0,15.0,2.2,0.0,1.2,8.6,1.46,3.4,396.0,9.9,7
MCD,341.0,47.0,C,19.2,15.0,3.2,0.0,0.0,9.5,1.42,3.74,787.0,10.7,7
ESTC,52.040000915527344,46.9,C,18.5,15.0,5.5,0.0,4.7,3.2,7.59,-13.79,165.0,12.7,7
BILL,44.47999954223633,46.6,C,8.4,15.0,1.1,5.1,15.0,2.0,6.11,-0.7,77.0,8.9,7
ZS,146.82000732421875,46.3,C,12.6,15.0,4.0,1.4,4.9,8.4,6.75,-12.05,2159.0,11.4,7
CL,99.0999984741211,46.2,C,12.6,15.0,0.0,5.0,4.9,8.7,2.0,3.56,395.0,5.2,7
TRV,308.70001220703125,46.2,C,16.6,15.0,1.4,2.2,4.1,6.9,1.72,3.26,318.0,9.2,7
EA,200.5500030517578,46.1,C,16.6,0.0,10.0,0.0,13.2,6.3,0.5,0.28,321.0,100.0,7
JD,26.524999618530273,46.1,C,13.0,15.0,2.5,2.5,4.2,9.0,1.75,-3.3,450.0,10.1,7
NKLR,4.429999828338623,46.0,C,14.5,9.2,13.3,0.0,9.1,0.0,9.18,10.75,4.0,19.3,7
HSY,236.25999450683594,45.7,C,15.2,15.0,0.2,8.2,0.0,7.0,2.32,5.92,316.0,8.2,7
ZETA,16.954999923706055,45.6,C,15.8,12.6,5.2,0.0,8.3,3.7,7.11,9.14,176.0,12.4,7
SOUN,8.604999542236328,45.6,C,17.3,13.1,4.8,1.8,0.0,8.6,6.68,16.81,869.0,12.1,7
ALL,214.52999877929688,45.5,C,8.8,15.0,1.2,7.7,7.6,5.2,2.27,3.16,219.0,9.1,7
PLD,142.58999633789062,45.4,C,16.2,15.0,3.0,0.0,5.6,5.6,1.48,2.48,249.0,10.6,7
AI,7.924600124359131,45.0,D,17.9,14.8,10.3,0.9,0.0,1.1,6.84,-24.09,86.0,16.8,7
KKR,87.6500015258789,44.8,D,10.7,15.0,2.5,6.2,1.1,9.3,5.92,-13.84,1000.0,10.1,7
RDW,9.0600004196167,44.8,D,19.0,7.8,7.5,0.0,8.1,2.4,9.01,11.85,123.0,14.4,7
MARA,8.930000305175781,44.3,D,14.3,10.9,10.8,0.0,0.0,8.3,7.88,21.66,1065.0,17.2,7
BABA,144.0800018310547,43.7,D,12.4,15.0,0.0,6.8,0.0,9.5,2.18,-7.05,1077.0,6.0,7
PENN,15.649999618530273,42.2,D,16.0,15.0,5.7,3.7,0.0,1.8,6.35,20.77,138.0,12.8,7
PGY,11.180000305175781,42.1,D,13.0,14.0,6.5,1.3,6.5,0.9,6.78,-10.49,65.0,13.5,7
HUBS,264.20001220703125,42.1,D,6.1,15.0,0.2,1.7,9.9,9.3,6.71,7.03,466.0,8.2,7
DV,10.539999961853027,41.2,D,12.4,15.0,1.8,6.3,5.7,0.0,5.9,9.79,24.0,9.5,7
CHWY,27.40999984741211,39.5,D,6.7,15.0,0.0,8.5,5.1,4.3,5.52,9.71,178.0,7.3,7
VRTX,496.7099914550781,39.4,D,4.4,15.0,0.0,10.3,0.5,9.3,2.53,6.13,663.0,7.8,7
VRNS,23.100000381469727,38.8,D,12.2,13.8,3.2,0.0,8.6,1.0,7.17,-8.91,64.0,10.8,7
LPTH,10.430000305175781,38.6,D,12.8,8.4,5.6,0.0,10.3,1.5,11.27,-11.16,58.0,12.8,7
LI,17.594999313354492,38.1,D,13.0,15.0,0.5,4.9,4.4,0.4,1.99,-3.69,54.0,8.4,7
SPG,203.9499969482422,38.0,D,10.3,15.0,2.1,0.1,6.2,4.2,1.51,2.4,175.0,9.8,7
EW,86.48999786376953,37.6,D,7.0,15.0,0.0,9.9,0.0,5.6,2.49,9.45,258.0,8.0,7
RACE,379.8500061035156,37.4,D,12.4,15.0,0.0,5.1,0.0,5.0,2.01,5.18,217.0,6.1,7
HMC,30.155000686645508,37.3,D,9.3,15.0,0.0,0.0,13.0,0.0,1.16,-0.69,21.0,4.1,7
TENB,19.229999542236328,32.3,D,8.6,15.0,1.1,0.0,6.3,1.3,7.99,-12.59,68.0,9.0,7
FANUY,22.649999618530273,25.0,F,0.0,15.0,10.0,0.0,0.0,0.0,1.33,10.06,1.0,0.0,7
